810,840
wall,525,525
wall,525,495
wall,465,495
wall,435,495
wall,495,495
wall,525,555
wall,525,735
wall,525,765
wall,525,795
wall,705,795
wall,735,765
wall,765,735
wall,735,735
wall,705,765
wall,675,795
wall,555,585
wall,555,555
wall,555,615
wall,555,645
wall,585,585
wall,585,615
wall,585,645
wall,675,405
wall,705,405
wall,735,405
wall,765,405
wall,645,405
wall,345,465
wall,225,465
wall,375,465
wall,195,465
wall,435,465
wall,165,465
wall,135,465
wall,405,465
wall,45,465
wall,45,435
wall,45,405
wall,45,375
wall,75,465
wall,75,435
wall,75,405
wall,45,345
wall,105,465
wall,135,255
wall,165,255
wall,195,255
wall,195,225
wall,225,225
wall,255,225
wall,315,225
wall,345,225
wall,375,225
wall,375,255
wall,405,255
wall,735,165
wall,105,285
wall,135,285
wall,675,165
wall,645,165
wall,705,165
wall,735,195
wall,765,45
wall,750,75
wall,735,105
wall,675,45
wall,690,75
wall,705,105
wall,285,225
wall,765,195
enemy,285,705
enemy,315,705
enemy,345,705
enemy,375,705
enemy,525,645
enemy,525,615
enemy,525,585
enemy,255,435
enemy,285,435
enemy,315,435
enemy,345,435
enemy,225,435
enemy,195,435
enemy,375,435
gravObj_off,135,585
gravObj_off,285,495
gravObj_off,705,435
gravObj_off,285,255.00000000000003
gravObj_off,495,45;
900,900
wall,825,45
wall,795,45
wall,885,165
wall,825,135
wall,855,45
wall,885,195
wall,885,405
wall,885,375
wall,885,345
wall,885,315
wall,885,285
wall,885,255
wall,885,225
wall,885,705
wall,885,675
wall,885,645
wall,885,615
wall,885,585
wall,885,555
wall,885,525
wall,885,495
wall,885,465
wall,885,435
wall,885,45
wall,885,75
wall,885,105
wall,885,135
wall,855,165
wall,825,165
wall,885,795
wall,885,765
wall,885,735
wall,885,15
wall,885,855
wall,885,825
wall,765,45
wall,735,45
gravObj_off,15,885
gravObj_off,15,285
gravObj_off,15,315
gravObj_off,15,345
gravObj_off,14.999999999999998,375
gravObj_off,15,405
gravObj_off,15,435
gravObj_off,15,465
gravObj_off,14.999999999999998,495
gravObj_off,15,525
gravObj_off,15.000000000000002,555
gravObj_off,15,585
gravObj_off,15,615
gravObj_off,15,645
gravObj_off,15,675
gravObj_off,15,705
gravObj_off,15,735
gravObj_off,15,765
gravObj_off,15.000000000000002,795
gravObj_off,15,825
gravObj_off,15,855
gravObj_off,585,15
gravObj_off,555,15
gravObj_off,525,15
gravObj_off,495,15
gravObj_off,435,15.000000000000002
gravObj_off,465,15
gravObj_off,405,15
gravObj_off,645,14.999999999999998
gravObj_off,615,15
gravObj_off,255,315
gravObj_off,225,315
gravObj_off,75,495
gravObj_off,45,495
gravObj_off,255,615
gravObj_off,225,615
gravObj_off,165,765
gravObj_off,135,765
gravObj_off,135,885
gravObj_off,105,885
gravObj_off,75,885
gravObj_off,45,885
gravObj_off,15,15
gravObj_off,15,45
gravObj_off,15,75
gravObj_off,15,105
gravObj_off,15,135
gravObj_off,15,165
gravObj_off,15,195
gravObj_off,15,225
gravObj_off,15,255
gravObj_off,675,15
gravObj_off,825,14.999999999999998
gravObj_off,795,14.999999999999998
gravObj_off,765,15
gravObj_off,735,15
gravObj_off,705,14.999999999999998
gravObj_off,855,14.999999999999998
gravObj_off,375,15
gravObj_off,225,15
gravObj_off,255,15
gravObj_off,285,15
gravObj_off,315,15.000000000000002
gravObj_off,345,15
gravObj_off,105,15
gravObj_off,135,15.000000000000002
gravObj_off,165,15
gravObj_off,195,15
gravObj_off,45,14.999999999999998
gravObj_off,75,15
gravObj_off,435,885
gravObj_off,405,885
gravObj_off,375,885
gravObj_off,195,885
gravObj_off,165,885
gravObj_off,345,885
gravObj_off,315,885
gravObj_off,285,885
gravObj_off,255,885
gravObj_off,225,885
gravObj_off,615,885
gravObj_off,585,885
gravObj_off,555,885
gravObj_off,525,885
gravObj_off,495,885
gravObj_off,465,885
gravObj_off,795,885
gravObj_off,765,885
gravObj_off,735,885
gravObj_off,705,885
gravObj_off,675,885
gravObj_off,645,885
gravObj_off,885,885
gravObj_off,855,885
gravObj_off,825,885
