810,420
gravObj_on,456.0000000000002,47,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,270,385
wall,300,15
wall,269.99999999741885,265
wall,330,15
wall,270.0000000213222,325
wall,360,15
wall,270.0000012544509,355
wall,390,15
wall,570,385
wall,420,15
wall,570.0000018816764,355
wall,450,15
wall,569.9999999998088,325
wall,480,15
wall,569.9999998838471,265
wall,510,15
wall,569.9999999303083,295
wall,540,15
wall,270.0000006272254,295
wall,570,15
wall,600,385
wall,600,15
wall,630,385.00000004646114
wall,630,15
wall,660,385.00000000258115
wall,660,15
wall,690,385.00000000258115
wall,690,15
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,240.00000125445092,355
wall,240.0000000213222,325
wall,240.0000006272254,295
wall,239.99999999741885,265
wall,210.00000125445092,355
wall,210.0000000213222,325
wall,600.0000018816764,355
wall,180.00000125445092,355
wall,150.00000125445092,355
wall,599.9999999998088,325
wall,599.9999999303083,295
wall,630.0000018816764,355
wall,599.9999998838471,265
wall,660.0000018816764,355.00000000258115
wall,629.9999999998088,325
wall,690.0000018816764,355
shocker,300,385
shocker,330,384.99999999741885
shocker,360,384.9999999991384
shocker,390,384.9999999974188
shocker,420,385.00000006969174
shocker,450,385.0000000025812
shocker,480,385
shocker,510,385.00000002300396
shocker,540,385.0000000008604
gravObj_off,105.99576241183638,46,0,300000
gravObj_off,692.0000012415451,46,0,300000
gravObj_on,420.9999999999964,46,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,270,385
wall,300,15
wall,330,15
wall,360,15
wall,390,15
wall,420,15
wall,450,15
wall,480,15
wall,510,15
wall,540,15
wall,540,385
wall,570,15
wall,570,385
wall,600,15
wall,600,385
wall,630,15
wall,630,385
wall,660,15
wall,660,385
wall,690,15
wall,690,385
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,269.0000000000106,355
wall,269.00000000258115,325
wall,239.00000000001057,355
wall,209.00000000001057,355
wall,239.00000000258115,325
wall,538.9999999949332,355
wall,539.0000000000952,325
wall,568.9999999949332,355
wall,598.9999999949332,355
wall,569.0000000000952,325
shocker,300,385.99996921948707
shocker,330,385.9999999975144
shocker,360,385.99999993030826
shocker,390,386.0000000696917
shocker,420,385.9999999999988
shocker,450,385.99999993030826
shocker,480,385.99999997676946
shocker,510,386.0000000000955
gravObj_off,102.99999997377789,46,0,300000
gravObj_off,689.0000000000107,46,0,300000
gravObj_on,400,46,0,150000
exit,755,340
player,37,350;
810,840
wall,15,15
wall,15,825
wall,45,15
wall,45,825
wall,75,15
wall,75,825
wall,105,15
wall,105,825
wall,135,15
wall,135,825
wall,165,15
wall,165,825
wall,195,15
wall,195,825
wall,225,15
wall,225,825
wall,255,15
wall,255,825
wall,285,15
wall,285,825
wall,315,15
wall,315,825
wall,345,15
wall,345,825
wall,375,15
wall,375,825
wall,405,15
wall,405,825
wall,435,15
wall,435,825
wall,465,15
wall,465,825
wall,495,15
wall,495,825
wall,525,15
wall,525,825
wall,555,15
wall,555,825
wall,585,15
wall,585,825
wall,615,15
wall,615,825
wall,645,15
wall,645,825
wall,675,15
wall,675,825
wall,705,15
wall,705,825
wall,735,15
wall,735,825
wall,765,15
wall,765,825
wall,795,15
wall,795,825
wall,15,15
wall,795,15
wall,15,45
wall,795,45
wall,15,75
wall,795,75
wall,15,105
wall,795,105
wall,15,135
wall,795,135
wall,15,165
wall,795,165
wall,15,195
wall,795,195
wall,15,225
wall,795,225
wall,15,255
wall,795,255
wall,15,285
wall,795,285
wall,15,315
wall,795,315
wall,15,345
wall,795,345
wall,15,375
wall,795,375
wall,15,405
wall,795,405
wall,15,435
wall,795,435
wall,15,465
wall,795,465
wall,15,495
wall,795,495
wall,15,525
wall,795,525
wall,15,555
wall,795,555
wall,15,585
wall,795,585
wall,15,615
wall,795,615
wall,15,645
wall,795,645
wall,15,675
wall,795,675
wall,15,705
wall,795,705
wall,15,735
wall,795,735
wall,15,765
wall,795,765
wall,15,795
wall,795,795
wall,15,825
wall,795,825
wall,165,705
wall,195,705
wall,225,705
wall,135,495
wall,165,495
wall,195,495
wall,225,495
wall,255,795
wall,254.99999999999997,765
wall,255,735
wall,255.00000000000003,705
wall,45,495
wall,75,495
wall,105,495
wall,405,705
wall,405,675
wall,435,705
wall,255,465
wall,285,465
wall,315,465
wall,255,525
wall,285,525
wall,315,525
wall,254.99999999999997,495
wall,315,495
wall,465,705
wall,495,705
wall,525,705
wall,405,495
wall,345,495
wall,375,495
wall,525,525
wall,525,495
wall,465,495
wall,435,495
wall,495,495
wall,525,555
wall,525,735
wall,525,765
wall,525,795
wall,705,795
wall,735,765
wall,765,735
wall,735,735
wall,705,765
wall,675,795
wall,555,585
wall,555,555
wall,555,615
wall,555,645
wall,585,585
wall,585,615
wall,585,645
wall,675,405
wall,705,405
wall,735,405
wall,765,405
wall,645,405
wall,345,465
wall,225,465
wall,375,465
wall,195,465
wall,435,465
wall,165,465
wall,135,465
wall,405,465
wall,45,465
wall,45,435
wall,45,405
wall,45,375
wall,75,465
wall,75,435
wall,75,405
wall,45,345
wall,105,465
wall,135,255
wall,165,255
wall,195,255
wall,195,225
wall,225,225
wall,255,225
wall,315,225
wall,345,225
wall,375,225
wall,375,255
wall,405,255
wall,735,165
wall,105,285
wall,135,285
wall,675,165
wall,645,165
wall,705,165
wall,735,195
wall,765,45
wall,750,75
wall,735,105
wall,675,45
wall,690,75
wall,705,105
wall,285,225
wall,765,195
shocker,285,705
shocker,315,705
shocker,345,705
shocker,375,705
shocker,525,645
shocker,525,615
shocker,525,585
shocker,255,435
shocker,285,435
shocker,315,435
shocker,345,435
shocker,225,435
shocker,195,435
shocker,375,435
gravObj_off,135,585,0,300000
gravObj_off,285,495,0,300000
gravObj_off,705,435,0,300000
gravObj_off,285,255.00000000000003,0,300000
gravObj_off,495,45,0,300000
exit,765,150
player,37,790;
900,900
wall,825,45
wall,795,45
wall,885,165
wall,825,135
wall,855,45
wall,885,195
wall,885,405
wall,885,375
wall,885,345
wall,885,315
wall,885,285
wall,885,255
wall,885,225
wall,885,705
wall,885,675
wall,885,645
wall,885,615
wall,885,585
wall,885,555
wall,885,525
wall,885,495
wall,885,465
wall,885,435
wall,885,45
wall,885,75
wall,885,105
wall,885,135
wall,855,165
wall,825,165
wall,885,795
wall,885,765
wall,885,735
wall,885,15
wall,885,855
wall,885,825
wall,765,45
wall,735,45
gravObj_off,15,885,0,300000
gravObj_off,15,285,0,300000
gravObj_off,15,315,0,300000
gravObj_off,15,345,0,300000
gravObj_off,14.999999999999998,375,0,300000
gravObj_off,15,405,0,300000
gravObj_off,15,435,0,300000
gravObj_off,15,465,0,300000
gravObj_off,14.999999999999998,495,0,300000
gravObj_off,15,525,0,300000
gravObj_off,15.000000000000002,555,0,300000
gravObj_off,15,585,0,300000
gravObj_off,15,615,0,300000
gravObj_off,15,645,0,300000
gravObj_off,15,675,0,300000
gravObj_off,15,705,0,300000
gravObj_off,15,735,0,300000
gravObj_off,15,765,0,300000
gravObj_off,15.000000000000002,795,0,300000
gravObj_off,15,825,0,300000
gravObj_off,15,855,0,300000
gravObj_off,585,15,0,300000
gravObj_off,555,15,0,300000
gravObj_off,525,15,0,300000
gravObj_off,495,15,0,300000
gravObj_off,435,15.000000000000002,0,300000
gravObj_off,465,15,0,300000
gravObj_off,405,15,0,300000
gravObj_off,645,14.999999999999998,0,300000
gravObj_off,615,15,0,300000
gravObj_off,255,315,0,300000
gravObj_off,225,315,0,300000
gravObj_off,75,495,0,300000
gravObj_off,45,495,0,300000
gravObj_off,255,615,0,300000
gravObj_off,225,615,0,300000
gravObj_off,165,765,0,300000
gravObj_off,135,765,0,300000
gravObj_off,135,885,0,300000
gravObj_off,105,885,0,300000
gravObj_off,75,885,0,300000
gravObj_off,45,885,0,300000
gravObj_off,15,15,0,300000
gravObj_off,15,45,0,300000
gravObj_off,15,75,0,300000
gravObj_off,15,105,0,300000
gravObj_off,15,135,0,300000
gravObj_off,15,165,0,300000
gravObj_off,15,195,0,300000
gravObj_off,15,225,0,300000
gravObj_off,15,255,0,300000
gravObj_off,675,15,0,300000
gravObj_off,825,14.999999999999998,0,300000
gravObj_off,795,14.999999999999998,0,300000
gravObj_off,765,15,0,300000
gravObj_off,735,15,0,300000
gravObj_off,705,14.999999999999998,0,300000
gravObj_off,855,14.999999999999998,0,300000
gravObj_off,375,15,0,300000
gravObj_off,225,15,0,300000
gravObj_off,255,15,0,300000
gravObj_off,285,15,0,300000
gravObj_off,315,15.000000000000002,0,300000
gravObj_off,345,15,0,300000
gravObj_off,105,15,0,300000
gravObj_off,135,15.000000000000002,0,300000
gravObj_off,165,15,0,300000
gravObj_off,195,15,0,300000
gravObj_off,45,14.999999999999998,0,300000
gravObj_off,75,15,0,300000
gravObj_off,435,885,0,300000
gravObj_off,405,885,0,300000
gravObj_off,375,885,0,300000
gravObj_off,195,885,0,300000
gravObj_off,165,885,0,300000
gravObj_off,345,885,0,300000
gravObj_off,315,885,0,300000
gravObj_off,285,885,0,300000
gravObj_off,255,885,0,300000
gravObj_off,225,885,0,300000
gravObj_off,615,885,0,300000
gravObj_off,585,885,0,300000
gravObj_off,555,885,0,300000
gravObj_off,525,885,0,300000
gravObj_off,495,885,0,300000
gravObj_off,465,885,0,300000
gravObj_off,795,885,0,300000
gravObj_off,765,885,0,300000
gravObj_off,735,885,0,300000
gravObj_off,705,885,0,300000
gravObj_off,675,885,0,300000
gravObj_off,645,885,0,300000
gravObj_off,885,885,0,300000
gravObj_off,855,885,0,300000
gravObj_off,825,885,0,300000
exit,765,150
player,37,850
